src_port,dst_port,window_size,tcp_flags,packet_size,num_options,has_MSS,has_WScale,has_NOP,has_SAckOK,has_Timestamp,has_UTO,has_EOL,mss_value,has_standard_mss,wscale_value,timestamp_val,timestamp_echo,has_zero_timestamp,option_sequence_hash,has_4_options,has_5_options,src_port_range,dst_port_range,avg_interval,std_interval,min_interval,max_interval,interval_regularity,interval_coefficient_variation,pattern_diversity,total_syn_packets,label,pcap_file
56176,80,8192,S,74,5,1,1,1,1,1,0,0,8960,0,7,5594422,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
40041,143,8192,S,74,5,1,1,0,1,1,0,1,1460,1,14,1177976,0,0,3822303820,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
51572,995,8192,S,78,7,1,1,1,1,1,0,1,1460,1,8,7815845,0,0,4084162255,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
52973,3306,8192,S,58,1,1,0,0,0,0,0,0,1460,1,0,0,0,0,1425427987,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
56625,8443,8192,S,66,4,1,1,0,1,0,0,1,1400,0,6,0,0,0,2422699541,1,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
62814,8080,8192,S,78,7,1,1,1,1,1,0,1,1460,1,8,2630301,0,0,4084162255,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
64963,80,8192,S,78,7,1,1,1,1,1,0,1,1460,1,9,1777846,0,0,4084162255,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
35306,53,8192,S,62,3,1,0,0,1,0,0,1,1460,1,0,0,0,0,107713806,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
33864,143,8192,S,62,4,1,0,1,1,0,0,0,1360,0,0,0,0,0,333163345,1,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
53223,22,8192,S,74,5,1,1,1,1,1,0,0,8960,0,7,7537251,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
45193,8080,8192,S,66,4,1,1,0,1,0,0,1,1400,0,6,0,0,0,2422699541,1,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
49208,8443,8192,S,74,5,1,1,0,1,1,0,1,1460,1,14,6681535,0,0,3822303820,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
43723,8443,8192,S,66,4,1,1,0,1,0,0,1,1400,0,6,0,0,0,2422699541,1,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
64863,80,8192,S,78,7,1,1,1,1,1,0,1,1460,1,8,6178606,0,0,4084162255,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
52694,8443,8192,S,74,5,1,1,1,1,1,0,0,1460,1,7,1600955,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
42064,53,8192,S,74,5,1,1,1,1,1,0,0,1460,1,7,7437275,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
36706,53,8192,S,58,1,1,0,0,0,0,0,0,1460,1,0,0,0,0,1425427987,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
52434,21,8192,S,74,5,1,1,1,1,1,0,0,8960,0,7,3628165,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
38392,22,8192,S,66,4,1,1,0,1,0,0,1,1400,0,6,0,0,0,2422699541,1,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
55579,443,8192,S,74,5,1,1,1,1,1,0,0,1460,1,7,2995373,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
63706,8443,8192,S,62,4,1,0,1,1,0,0,0,1360,0,0,0,0,0,333163345,1,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
48969,8080,8192,S,62,4,1,0,1,1,0,0,0,1360,0,0,0,0,0,333163345,1,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
43537,8443,8192,S,74,5,1,1,1,1,1,0,0,1460,1,7,4249685,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
44670,443,8192,S,62,3,1,0,0,1,0,0,1,1460,1,0,0,0,0,107713806,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
52138,8443,8192,S,78,7,1,1,1,1,1,0,1,1460,1,9,7730655,0,0,4084162255,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
38373,22,8192,S,62,3,1,0,0,1,0,0,1,1460,1,0,0,0,0,107713806,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
37316,27017,8192,S,58,1,1,0,0,0,0,0,0,1460,1,0,0,0,0,1425427987,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
54177,993,8192,S,74,5,1,1,1,1,1,0,0,1460,1,7,4445249,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
34141,25,8192,S,62,3,1,0,0,1,0,0,1,1460,1,0,0,0,0,107713806,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
52846,25,8192,S,66,4,1,1,0,1,0,0,1,1400,0,6,0,0,0,2422699541,1,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
45851,25,8192,S,74,5,1,1,1,1,1,0,0,1460,1,7,8726259,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
48197,8443,8192,S,78,7,1,1,1,1,1,0,1,1460,1,9,6684728,0,0,4084162255,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
59724,110,8192,S,78,7,1,1,1,1,1,0,1,1460,1,8,4436149,0,0,4084162255,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
40397,25,8192,S,74,5,1,1,1,1,1,0,0,8960,0,7,6136749,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
44855,8080,8192,S,78,7,1,1,1,1,1,0,1,1460,1,9,2749775,0,0,4084162255,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
50491,80,8192,S,62,4,1,0,1,1,0,0,0,1360,0,0,0,0,0,333163345,1,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
45089,80,8192,S,74,5,1,1,1,1,1,0,0,1460,1,7,2794369,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
58698,8080,8192,S,74,5,1,1,0,1,1,0,1,1460,1,14,4279653,0,0,3822303820,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
43097,80,8192,S,66,4,1,1,0,1,0,0,1,1400,0,6,0,0,0,2422699541,1,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
50205,80,8192,S,74,5,1,1,1,1,1,0,0,8960,0,7,9257023,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
62316,8080,8192,S,74,5,1,1,0,1,1,0,1,1460,1,14,2492947,0,0,3822303820,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
62591,443,8192,S,78,7,1,1,1,1,1,0,1,1460,1,9,4428541,0,0,4084162255,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
64204,8080,8192,S,74,5,1,1,0,1,1,0,1,1460,1,14,6682322,0,0,3822303820,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
47660,8443,8192,S,66,4,1,1,0,1,0,0,1,1400,0,6,0,0,0,2422699541,1,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
36984,3306,8192,S,66,4,1,1,0,1,0,0,1,1400,0,6,0,0,0,2422699541,1,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
48764,3306,8192,S,78,7,1,1,1,1,1,0,1,1460,1,8,8371831,0,0,4084162255,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
36989,27017,8192,S,66,4,1,1,0,1,0,0,1,1400,0,6,0,0,0,2422699541,1,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
63637,5432,8192,S,74,5,1,1,1,1,1,0,0,8960,0,7,4013335,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
37707,80,8192,S,78,7,1,1,1,1,1,0,1,1460,1,9,3254343,0,0,4084162255,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
38261,8443,8192,S,78,7,1,1,1,1,1,0,1,1460,1,9,1276969,0,0,4084162255,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
48124,80,8192,S,66,4,1,1,0,1,0,0,1,1400,0,6,0,0,0,2422699541,1,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
35209,8080,8192,S,74,5,1,1,1,1,1,0,0,8960,0,7,2709531,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
36424,443,8192,S,78,7,1,1,1,1,1,0,1,1460,1,9,1772412,0,0,4084162255,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
64596,110,8192,S,66,4,1,1,0,1,0,0,1,1400,0,6,0,0,0,2422699541,1,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
42456,22,8192,S,74,5,1,1,1,1,1,0,0,1460,1,7,1918140,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
53397,25,8192,S,74,5,1,1,1,1,1,0,0,8960,0,7,6865860,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
59368,3306,8192,S,74,5,1,1,1,1,1,0,0,8960,0,7,5188698,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
46689,3389,8192,S,62,4,1,0,1,1,0,0,0,1360,0,0,0,0,0,333163345,1,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
33653,8080,8192,S,74,5,1,1,1,1,1,0,0,8960,0,7,9008707,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
37786,80,8192,S,74,5,1,1,1,1,1,0,0,1460,1,7,1095209,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
43807,27017,8192,S,78,7,1,1,1,1,1,0,1,1460,1,8,2786462,0,0,4084162255,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
50369,27017,8192,S,74,5,1,1,0,1,1,0,1,1460,1,14,6851124,0,0,3822303820,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
64959,53,8192,S,74,5,1,1,1,1,1,0,0,1460,1,7,1511071,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
41401,110,8192,S,78,7,1,1,1,1,1,0,1,1460,1,9,3718589,0,0,4084162255,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
58457,443,8192,S,74,5,1,1,1,1,1,0,0,1460,1,7,3203890,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
44045,8080,8192,S,74,5,1,1,1,1,1,0,0,1460,1,7,8526052,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
33328,8080,8192,S,74,5,1,1,1,1,1,0,0,1460,1,7,7834797,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
62443,8443,8192,S,78,7,1,1,1,1,1,0,1,1460,1,9,3121747,0,0,4084162255,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
57891,8080,8192,S,78,7,1,1,1,1,1,0,1,1460,1,8,3730409,0,0,4084162255,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
40067,8443,8192,S,78,7,1,1,1,1,1,0,1,1460,1,9,5588737,0,0,4084162255,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
43768,80,8192,S,66,4,1,1,0,1,0,0,1,1400,0,6,0,0,0,2422699541,1,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
39618,443,8192,S,62,3,1,0,0,1,0,0,1,1460,1,0,0,0,0,107713806,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
61273,8443,8192,S,78,7,1,1,1,1,1,0,1,1460,1,9,3249502,0,0,4084162255,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
53450,8080,8192,S,74,5,1,1,1,1,1,0,0,8960,0,7,4685582,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
38650,80,8192,S,74,5,1,1,0,1,1,0,1,1460,1,14,9867649,0,0,3822303820,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
52738,5432,8192,S,74,5,1,1,1,1,1,0,0,8960,0,7,6465321,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
35407,8443,8192,S,62,4,1,0,1,1,0,0,0,1360,0,0,0,0,0,333163345,1,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
42283,8443,8192,S,74,5,1,1,0,1,1,0,1,1460,1,14,2741598,0,0,3822303820,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
39775,8443,8192,S,74,5,1,1,1,1,1,0,0,1460,1,7,7083500,0,0,673659562,0,1,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
37397,443,8192,S,58,1,1,0,0,0,0,0,0,1460,1,0,0,0,0,1425427987,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
49238,443,8192,S,66,4,1,1,0,1,0,0,1,1400,0,6,0,0,0,2422699541,1,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
46999,8080,8192,S,58,1,1,0,0,0,0,0,0,1460,1,0,0,0,0,1425427987,0,0,32595,26996,0.41035386343844465,0.5336819856864823,6.127357482910156e-05,2.0248990058898926,0.4346803819143328,1.3005409068520626,7,839,benign,benign1.pcap
